bucket,tv_symbol,signal_week,sig_ctl_pct,sig_body_frac,sig_range_pct,entry_date,entry,stop,risk_pct,ext_vs_sma,crs_rank,exit_date,exit_px,pct_move,R,mfe_pct,mae_pct,reason,weeks_held
STOPPED_RANDOM,NSE:GULFOILLUB,2018-02-09,22.77,0.86,30.31,2018-02-12,866.73,669.41,22.77,27.58,0.22,2018-08-20,675.13,-22.11,-0.97,2.32,-24.44,stop,27.0
STOPPED_RANDOM,NSE:MAZDOCK,2022-04-08,14.02,0.9,18.13,2022-04-11,141.06,121.26,14.04,14.84,0.11,2022-06-20,118.62,-15.91,-1.13,16.38,-22.01,stop,10.0
STOPPED_RANDOM,NSE:M&M,2018-09-21,9.37,0.11,12.26,2018-09-24,894.7,815.06,8.9,15.71,0.11,2018-10-01,806.16,-9.9,-1.11,0.33,-12.09,stop,1.0
STOPPED_RANDOM,NSE:GREENPLY,2018-02-09,15.88,0.57,21.17,2018-02-12,357.25,299.97,16.03,23.84,0.19,2018-04-02,300.94,-15.76,-0.98,2.72,-17.66,stop,7.0
STOPPED_RANDOM,NSE:BDL,2025-08-14,7.65,0.54,10.76,2025-08-18,1595.67,1451.34,9.05,15.25,0.09,2025-09-01,1434.31,-10.11,-1.12,1.69,-11.76,stop,2.0
GOOD_RANDOM,NSE:RELCAPITAL,2017-02-03,9.48,0.51,11.84,2017-02-06,414.68,373.16,10.01,9.83,0.04,2017-04-10,513.12,23.74,2.18,27.36,-4.78,blowoff_half,9.0
GOOD_RANDOM,NSE:JUBLFOOD,2020-07-17,9.08,0.71,10.35,2020-07-20,347.49,316.02,9.06,9.26,0.06,2020-10-05,468.27,34.76,2.92,40.05,-5.69,blowoff_half,11.0
GOOD_RANDOM,NSE:MAHABANK,2026-01-02,10.95,0.96,12.73,2026-01-05,62.09,55.24,11.03,18.79,0.11,2026-06-29,93.85,51.15,3.32,52.2,-5.15,eos,25.0
GOOD_RANDOM,NSE:CHOLAHLDNG,2025-02-28,9.86,0.84,12.84,2025-03-03,1665.55,1478.98,11.2,8.39,0.14,2025-07-07,2092.86,25.66,2.14,33.89,-18.56,blowoff_half,18.0
GOOD_RANDOM,NSE:JBCHEPHARM,2020-03-27,17.38,0.3,25.54,2020-03-30,236.02,198.37,15.95,21.11,0.6,2020-06-29,315.51,33.68,2.06,48.85,-11.86,blowoff_half,13.0
GOOD_RANDOM,NSE:IPCALAB,2018-06-29,9.38,0.6,10.95,2018-07-02,340.3,308.7,9.29,15.59,0.11,2019-03-18,435.23,27.9,2.5,34.93,-14.05,blowoff_half,37.0
GOOD_RANDOM,NSE:SUZLON,2022-10-21,21.97,0.65,42.22,2022-10-24,8.85,6.75,23.73,5.94,0.01,2023-07-31,18.2,105.65,3.23,135.03,-21.47,blowoff_half,40.0
GOOD_RANDOM,NSE:JUBLPHARMA,2023-08-11,16.7,0.76,26.45,2023-08-14,443.47,368.57,16.89,28.56,0.21,2024-04-15,625.78,41.11,2.22,48.73,-28.84,blowoff_half,35.0
GOOD_RANDOM,NSE:MERCK,2019-03-01,12.22,0.65,18.86,2019-03-05,2442.26,2118.32,13.26,18.4,0.14,2019-08-05,3916.2,60.35,3.28,72.48,-1.18,blowoff_half,21.9
GOOD_RANDOM,NSE:MAZDOCK,2022-08-12,11.6,0.86,14.26,2022-08-16,150.45,132.09,12.2,15.87,0.1,2022-11-21,395.68,163.0,7.68,184.07,-4.08,blowoff_half,13.9
GOOD_RANDOM,NSE:MCX,2023-09-01,13.42,0.92,16.79,2023-09-04,359.05,310.86,13.42,20.28,0.14,2024-01-15,613.64,70.91,3.64,85.32,-5.98,trail,19.0
GOOD_RANDOM,NSE:CEATLTD,2024-06-28,14.68,0.55,21.29,2024-07-01,2761.85,2357.95,14.62,15.9,0.03,2025-05-26,3764.49,36.3,2.24,45.06,-15.96,blowoff_half,47.0
GOOD_RANDOM,NSE:MGL,2023-12-08,7.94,0.71,10.73,2023-12-11,1106.9,1011.11,8.65,15.04,0.02,2024-02-12,1408.37,27.24,2.57,34.53,-2.47,blowoff_half,9.0
GOOD_RANDOM,NSE:MUTHOOTFIN,2019-08-02,8.04,0.56,9.4,2019-08-05,553.61,510.01,7.88,15.47,0.15,2020-01-13,668.58,20.77,2.32,25.6,-10.19,blowoff_half,23.0
GOOD_RANDOM,NSE:GVT&D,2026-01-30,17.93,0.83,23.47,2026-02-02,3209.8,2651.0,17.41,25.53,0.21,2026-06-29,5057.0,57.55,2.65,76.02,-1.8,blowoff_half,21.0
GOOD_RANDOM,NSE:BATAINDIA,2019-08-09,9.95,0.73,12.42,2019-08-13,1341.96,1205.37,10.18,15.54,0.14,2019-11-04,1649.76,22.94,2.13,26.85,-0.69,blowoff_half,11.9
GOOD_RANDOM,NSE:IDBI,2023-04-13,11.03,0.74,15.22,2023-04-17,49.59,43.53,12.22,15.22,0.1,2023-10-23,65.48,32.04,2.31,45.16,-3.43,trail,27.0
GOOD_RANDOM,NSE:GPPL,2023-02-10,12.51,0.83,17.05,2023-02-13,87.08,76.41,12.25,20.42,0.17,2023-10-30,108.42,24.51,2.0,45.02,-6.18,trail,37.0
GOOD_RANDOM,NSE:CGPOWER,2024-01-25,10.54,0.1,13.93,2024-01-29,466.68,411.37,11.85,17.94,0.05,2024-07-15,728.94,56.2,3.37,67.24,-10.33,blowoff_half,24.0
GOOD_RANDOM,NSE:INDIAMART,2020-07-31,17.23,0.67,22.6,2020-08-03,1336.09,1099.01,17.74,26.24,0.22,2020-10-05,2323.83,73.93,3.08,92.81,-2.04,blowoff_half,9.0
