id,ticker,entry_date,cohort,setup_type,any_detector,grade,R
af0715ed3e40,GODREJCP,2018-02-26,strong_winner,sr_breakout,False,2,5.599
c96f74aac064,VGUARD,2023-07-31,strong_winner,sr_breakout,False,1,2.583
90c5ebef6b25,3MINDIA,2023-03-06,strong_winner,no_clear_setup,True,1,2.159
7eff3b199046,DRREDDY,2023-11-13,strong_winner,no_clear_setup,True,1,2.536
ef891dc7ee99,HONAUT,2019-12-16,strong_winner,no_clear_setup,True,1,2.034
52f08a98d2c1,TATASTEEL,2023-07-19,strong_winner,sr_breakout,False,2,2.267
e16496abf4cf,BAJFINANCE,2018-04-02,strong_winner,sr_breakout,False,2,4.199
8c323d7655a9,TORNTPHARM,2023-05-22,strong_winner,sr_breakout,False,2,3.669
a7be0ea6be1b,POWERGRID,2019-09-09,false_touch,no_clear_setup,True,1,-1.459
9518e4d307bf,CHOLAFIN,2018-07-16,false_touch,no_clear_setup,True,1,-1.112
04bae24f1b6c,BAJAJELEC,2021-12-20,false_touch,pullback_to_ma,False,2,-1.328
e9a17e2e026e,NAVINFLUOR,2023-05-03,false_touch,flat_base_box,False,2,-1.474
5185489afff3,CGCL,2023-09-04,false_touch,no_clear_setup,True,1,-1.675
51b4d9ff3f05,AMBER,2022-04-25,false_touch,sr_breakout,False,2,-3.663
bee6fa9478ad,LT,2019-06-24,false_touch,sr_breakout,False,1,-1.189
0318cbd1ff9d,POLYCAB,2022-05-16,false_touch,sr_breakout,False,2,-1.567
a8bfd46e2010,GAIL,2018-02-12,false_touch,no_clear_setup,True,1,-1.012
c3cbcddb28bf,REDINGTON,2022-04-18,false_touch,sr_breakout,False,2,-1.046
215e75cd0bae,OBEROIRLTY,2022-03-14,false_touch,sr_breakout,False,2,-1.129
707f6091eada,HERITGFOOD,2018-03-19,false_touch,pullback_to_ma,False,2,-1.262
2f8787e5abf1,SUNTECK,2022-07-18,false_touch,sr_breakout,False,2,-2.707
d88d6298f409,CYIENT,2018-10-01,false_touch,sr_breakout,False,2,-1.805
a3f2b68dfd19,KOTAKBANK,2020-03-09,false_touch,no_clear_setup,True,1,-10.23
bd77c8d2dd64,POWERINDIA,2022-09-26,false_touch,sr_breakout,False,2,-0.949
bd18556c00ac,TEAMLEASE,2019-02-18,noise_stop,sr_breakout,False,2,-1.534
2457fc5b48d0,SUPREMEIND,2019-10-22,noise_stop,sr_breakout,False,1,-2.415
0f736615b43b,REDINGTON,2022-03-07,noise_stop,sr_breakout,False,2,-0.758
7035cefabb26,SIEMENS,2022-02-07,noise_stop,sr_breakout,False,2,-1.484
0ee404dd78bb,SUNPHARMA,2022-05-16,noise_stop,no_clear_setup,True,1,-1.732
50ada30e4850,SJVN,2022-03-14,noise_stop,pullback_to_ma,False,2,-0.864
5cfae4b303fc,CROMPTON,2019-10-14,noise_stop,sr_breakout,False,2,-1.108
2ce8a41af1b8,NHPC,2022-05-23,noise_stop,sr_breakout,False,1,-1.355
4f37632df02a,HDFCLIFE,2023-09-04,noise_stop,no_clear_setup,True,1,-1.73
f278904c8942,SANOFI,2020-02-10,noise_stop,no_clear_setup,True,1,-0.43
ecbdf306de17,VAIBHAVGBL,2019-11-19,noise_stop,flat_base_box,False,2,-1.011
26bf4f8ce098,SKFINDIA,2018-04-02,noise_stop,no_clear_setup,True,1,-1.256
5259698e4425,MARUTI,2018-04-02,noise_stop,no_clear_setup,True,1,-1.226
62dda4f3a5e6,HDFCBANK,2023-02-06,noise_stop,no_clear_setup,True,1,-1.18
80449bec33dd,BAJAJFINSV,2019-10-22,noise_stop,sr_breakout,False,2,-0.652
efe50ce2d40f,NESTLEIND,2023-05-02,strong_winner,sr_breakout,False,1,2.738
ea27a49d1929,IRB,2023-10-03,strong_winner,sr_breakout,False,2,4.39
2f52d3770259,JKCEMENT,2023-04-03,strong_winner,flat_base_box,False,2,2.489
c9df8a1858c4,NTPC,2022-08-01,strong_winner,pullback_to_ma,False,2,2.155
f5708bf9e795,NESCO,2019-08-19,strong_winner,no_clear_setup,True,1,7.231
984188a0f0a0,GRASIM,2023-11-13,strong_winner,no_clear_setup,True,1,2.057
62e94bd66583,GAIL,2023-11-07,strong_winner,no_clear_setup,True,1,4.657
542a31d9217c,CEATLTD,2023-05-08,strong_winner,sr_breakout,False,2,2.797
c84891f90bcf,POWERGRID,2022-02-28,strong_winner,no_clear_setup,True,1,3.52
7ddc2661d79d,SIEMENS,2022-03-14,strong_winner,sr_breakout,False,2,2.332
afea823b8a1b,BPCL,2023-06-19,strong_winner,no_clear_setup,True,1,3.612
6e0f2dbd2443,KAJARIACER,2023-05-29,strong_winner,sr_breakout,False,2,2.308
b52e81c5eff2,RTNINDIA,2022-06-06,noise_stop,no_clear_setup,True,1,-1.022
f72cda4526be,WELCORP,2021-07-19,false_touch,sr_breakout,False,2,-0.986
9e7db1d24391,LTF,2021-06-08,false_touch,pullback_to_ma,False,2,-1.426
e3a37d1ba8a9,PRESTIGE,2021-03-30,false_touch,sr_breakout,False,2,-1.174
7697364177b4,SBICARD,2021-06-14,false_touch,sr_breakout,False,2,-1.463
c232eb5fe6d6,NESCO,2021-10-11,false_touch,sr_breakout,False,2,-1.12
5a8123aafb12,SAIL,2021-10-20,false_touch,sr_breakout,False,2,0.041
53155302e122,JUSTDIAL,2021-09-06,false_touch,flat_base_box,False,2,-1.376
951cda8eeaf2,COLPAL,2021-07-26,false_touch,no_clear_setup,True,1,-1.278
8c030cbf33a7,IRCON,2021-10-25,false_touch,sr_breakout,False,2,-1.134
4ba5aa47a83d,VARROC,2021-05-24,false_touch,sr_breakout,False,2,-0.942
36dd9ff8706f,NBCC,2022-01-17,false_touch,sr_breakout,False,3,-1.169
3b066ad3dd63,KOTAKBANK,2021-10-25,false_touch,sr_breakout,False,1,-1.05
6b500bc43e69,LUPIN,2021-05-10,false_touch,sr_breakout,False,2,-1.374
c389a4f93b40,GODREJAGRO,2021-06-28,false_touch,sr_breakout,False,2,-1.169
a2bac1547fdb,SUNTECK,2018-08-13,false_touch,sr_breakout,False,3,-1.312
522e0261caa5,ERIS,2021-09-07,noise_stop,no_clear_setup,True,1,-0.319
3560e9b4164c,USHAMART,2024-01-24,noise_stop,sr_breakout,False,2,-1.329
0da9c1daf649,FLUOROCHEM,2021-03-15,noise_stop,sr_breakout,False,2,-1.208
3ef21c253cb4,AAVAS,2021-10-20,noise_stop,flat_base_box,False,3,-1.188
9660dac3a1d3,BERGEPAINT,2021-03-30,noise_stop,sr_breakout,False,2,-1.065
ff478e399e0c,USHAMART,2024-04-22,noise_stop,sr_breakout,False,2,-1.524
703190fccbc4,SHOPERSTOP,2021-04-05,noise_stop,sr_breakout,False,2,-1.445
07aa317c0be7,MAHLIFE,2024-02-19,noise_stop,sr_breakout,False,2,-1.331
c1dc0a31e39c,IGL,2021-04-12,noise_stop,sr_breakout,False,2,-1.616
351af5477bd8,NAM-INDIA,2021-04-12,noise_stop,sr_breakout,False,2,-1.158
596ab0331586,SUNPHARMA,2021-11-15,noise_stop,no_clear_setup,True,1,-1.395
eaaced97b236,DEEPAKNTR,2024-04-29,noise_stop,sr_breakout,False,2,-0.958
01aefe092f9e,MRPL,2021-10-04,noise_stop,pullback_to_ma,False,2,-1.061
0c5441b66316,SUNPHARMA,2022-01-17,noise_stop,sr_breakout,False,2,-1.321
b2f4af162da9,ATUL,2022-01-17,noise_stop,sr_breakout,False,2,-1.041
13978f762957,RITES,2021-10-25,noise_stop,sr_breakout,False,1,-1.1
f422fefca766,RAYMOND,2021-04-05,noise_stop,sr_breakout,False,2,-3.889
94ca88746b87,COFORGE,2021-03-15,strong_winner,flat_base_box,False,3,6.319
780a41f47de8,MOTILALOFS,2021-05-10,strong_winner,sr_breakout,False,2,2.738
63be21852f85,ADVENZYMES,2021-04-05,strong_winner,sr_breakout,False,2,3.824
bedac8f0dfa7,RAYMOND,2021-05-24,strong_winner,sr_breakout,False,2,2.159
2dae30e0d905,INDHOTEL,2021-05-24,strong_winner,sr_breakout,False,2,2.637
a2257309e4ff,DIVISLAB,2024-01-08,strong_winner,sr_breakout,False,2,2.469
c88debd4a729,FORTIS,2021-03-08,strong_winner,sr_breakout,False,2,2.176
cff5a9672171,JINDALSAW,2021-03-01,strong_winner,sr_breakout,False,2,2.033
ee6ff8f4b185,RATNAMANI,2020-08-24,strong_winner,sr_breakout,False,2,2.909
84a586f55480,AARTIIND,2021-03-30,strong_winner,sr_breakout,False,2,4.133
7e462e1eae46,GMRAIRPORT,2020-12-01,strong_winner,flat_base_box,False,2,2.466
ac9b04c4c841,BALKRISIND,2023-10-30,false_touch,no_clear_setup,True,1,-1.186
ad29c8bacf91,NAVINFLUOR,2018-02-15,false_touch,sr_breakout,False,1,-1.126
25de6f94fb7e,ICICIBANK,2022-02-07,false_touch,sr_breakout,False,2,-3.687
d6c1ee14eb0d,AXISBANK,2019-07-01,false_touch,no_clear_setup,True,1,-1.473
7fa08fd492ab,MRF,2022-11-07,false_touch,sr_breakout,False,1,-0.99
668396044177,RATNAMANI,2020-01-06,false_touch,sr_breakout,False,1,-1.119
f2afe126b3df,HAL,2020-01-27,false_touch,sr_breakout,False,2,-1.104
b6609eb0aef9,GUJALKALI,2022-08-22,false_touch,flat_base_box,False,2,-1.007
2177ced44ce9,JBMA,2024-05-06,false_touch,pullback_to_ma,False,2,-1.045
7548e2f326ed,IEX,2022-04-11,false_touch,pullback_to_ma,False,2,-2.353
e218e81aa51e,GLENMARK,2018-12-31,false_touch,sr_breakout,False,2,-1.318
17f5fd330e26,ICICIBANK,2020-02-10,false_touch,no_clear_setup,True,1,-0.829
98db64218d4b,AFFLE,2022-04-04,false_touch,flat_base_box,False,2,-2.118
faa7261e84aa,MAZDOCK,2022-04-11,noise_stop,sr_breakout,False,2,-1.133
513c40591001,FORTIS,2023-10-17,noise_stop,no_clear_setup,True,1,-1.116
7f024e60de68,FEDERALBNK,2021-11-08,noise_stop,sr_breakout,False,1,-1.21
06c1c313bb4e,HEIDELBERG,2019-04-30,noise_stop,sr_breakout,False,2,-0.997
c4518d869acf,NESCO,2018-02-14,noise_stop,sr_breakout,False,1,-1.151
1c1ea71b6fe3,RADICO,2018-07-31,noise_stop,sr_breakout,False,2,-1.17
fbd585ee2794,UNIONBANK,2021-05-17,noise_stop,sr_breakout,False,2,-1.029
9e33a9c09422,CUB,2019-06-10,noise_stop,no_clear_setup,True,1,-1.134
69a33d4a10c3,GODREJCP,2021-05-17,noise_stop,sr_breakout,False,3,-1.064
a0a9c94824da,INDHOTEL,2023-10-09,noise_stop,sr_breakout,False,2,-2.293
af124832393f,SHREECEM,2021-04-05,noise_stop,sr_breakout,False,2,-1.066
ecf0578233d8,RITES,2023-05-29,strong_winner,sr_breakout,False,1,2.587
c54ad3be4832,IRB,2021-06-14,strong_winner,flat_base_box,False,3,2.053
6573e687e2b5,IGL,2019-06-03,strong_winner,no_clear_setup,True,1,3.094
233bef440314,HEROMOTOCO,2024-04-29,strong_winner,no_clear_setup,True,1,2.331
e9b90f78593d,LEMONTREE,2023-12-11,strong_winner,sr_breakout,False,2,3.193
93f9d33db8b9,COROMANDEL,2023-10-09,strong_winner,no_clear_setup,True,1,2.418
3cc201ad5f79,RATNAMANI,2023-10-16,strong_winner,no_clear_setup,True,1,4.93
69f72db3c39d,TECHM,2023-09-11,strong_winner,no_clear_setup,True,1,2.111
d48a2809c77e,POWERGRID,2023-11-06,strong_winner,no_clear_setup,True,1,3.725
7c82404fbdce,UNITDSPR,2023-09-11,strong_winner,sr_breakout,False,2,2.318
0595d449a558,NH,2023-11-13,strong_winner,sr_breakout,False,2,2.289
b2f8c2429560,GUJALKALI,2021-04-12,strong_winner,sr_breakout,False,2,2.973
118b44ecd3c7,LUPIN,2023-06-09,strong_winner,sr_breakout,False,2,2.171
4610673cfaa9,EIDPARRY,2020-11-09,strong_winner,sr_breakout,False,2,2.5
ca8ce5609156,RENUKA,2022-03-07,strong_winner,sr_breakout,False,2,2.569
5a0c539bd376,TATAELXSI,2020-08-10,strong_winner,sr_breakout,False,2,2.722
1d998104907b,KPIL,2023-11-20,strong_winner,sr_breakout,False,2,5.6
952b78d59d2e,ZYDUSWELL,2019-10-14,false_touch,sr_breakout,False,1,-1.866
9c3102fa84f2,BLUESTARCO,2022-04-11,false_touch,sr_breakout,False,2,-1.103
31bf62599e0d,BEL,2019-09-12,false_touch,sr_breakout,False,2,-1.093
5991cafd12b3,MAHSCOOTER,2019-11-11,false_touch,sr_breakout,False,2,-1.635
a845ba1ad887,JINDALSTEL,2022-05-02,false_touch,sr_breakout,False,1,-1.036
00679162e3c7,ICICIPRULI,2019-09-09,noise_stop,sr_breakout,False,1,-2.131
569bbc27de56,PERSISTENT,2018-02-12,noise_stop,flat_base_box,False,2,-1.547
19da29daac63,SIS,2020-02-11,noise_stop,sr_breakout,False,1,-1.394
2e42c4494f55,SHRIRAMFIN,2018-03-19,noise_stop,pullback_to_ma,False,2,-1.213
56d9b3d68f6f,BERGEPAINT,2023-09-25,noise_stop,no_clear_setup,True,1,-1.157
a3bd76114889,CGCL,2019-11-11,noise_stop,sr_breakout,False,2,-1.442
eb5472db1670,TATAELXSI,2022-03-07,strong_winner,sr_breakout,False,2,2.936
0516f2400577,KEI,2022-03-21,strong_winner,sr_breakout,False,2,2.447
69c69dbea895,MIDHANI,2020-01-13,strong_winner,sr_breakout,False,2,2.387
67e537dd4a27,ASTRAZEN,2021-01-05,false_touch,flat_base_box,False,3,-0.948
35d25f8653d0,CHENNPETRO,2021-03-08,noise_stop,pullback_to_ma,False,2,-1.271
856fba3fa751,ROSSARI,2021-09-06,false_touch,sr_breakout,False,2,-1.226
54d06bbbfc2a,ADANIGREEN,2022-08-22,false_touch,sr_breakout,False,2,-1.471
57878391e9a2,CREDITACC,2024-01-08,false_touch,no_clear_setup,True,1,-0.989
617f6c0239fb,FINCABLES,2024-05-27,false_touch,sr_breakout,False,3,-1.011
40f718282332,JMFINANCIL,2021-07-19,false_touch,sr_breakout,False,2,-1.009
7e54486c593d,SUPREMEIND,2021-10-11,false_touch,sr_breakout,False,2,-1.106
47f1010ac3e8,JUBLFOOD,2021-08-16,false_touch,sr_breakout,False,1,-1.039
51cdef937bed,JKPAPER,2024-06-18,noise_stop,sr_breakout,False,1,-1.076
fd44f5a40330,3MINDIA,2021-03-16,noise_stop,sr_breakout,False,1,-1.068
c241d1b31ef1,HIMATSEIDE,2021-05-04,strong_winner,sr_breakout,False,2,3.257
cd7b6b62fca8,ORIENTCEM,2021-02-08,strong_winner,no_clear_setup,True,1,2.506
76e6282f4258,GHCL,2021-01-25,strong_winner,sr_breakout,False,2,2.011
6a532f497497,VAIBHAVGBL,2021-05-10,false_touch,no_clear_setup,True,1,-1.173
48f7fb6f0e4b,IDBI,2021-10-18,false_touch,flat_base_box,False,1,-0.994
f770f2922ed9,ESCORTS,2023-11-15,false_touch,no_clear_setup,True,1,-1.149
84d7ff7d4096,AARTIIND,2024-02-19,false_touch,no_clear_setup,True,1,-1.032
2dfcbc6e898d,INTELLECT,2021-07-19,false_touch,sr_breakout,False,2,-1.767
3904bfaee349,DEEPAKFERT,2022-10-24,false_touch,sr_breakout,False,2,-1.232
2a3058e7a7d5,VTL,2022-03-28,false_touch,sr_breakout,False,2,-2.257
ad033daea7ff,GICRE,2021-03-15,false_touch,flat_base_box,False,2,-1.018
80b24d198be8,ZYDUSLIFE,2021-06-07,false_touch,sr_breakout,False,1,-1.009
ffdc0d8e6038,DBL,2018-04-30,false_touch,flat_base_box,False,2,-1.476
9c408c90b4e6,TAKE,2021-06-14,false_touch,sr_breakout,False,2,-1.027
28906ba9adc6,MAHABANK,2024-05-21,false_touch,sr_breakout,False,2,-1.029
410ddd7fec27,BIRLACORPN,2021-07-19,false_touch,flat_base_box,False,3,-1.038
fa0c36f769f0,IIFL,2018-02-19,false_touch,flat_base_box,False,2,-1.273
ae446f3b1f83,GODFRYPHLP,2019-03-25,false_touch,sr_breakout,False,1,-1.054
6b468b242b4d,PRAJIND,2019-02-04,false_touch,sr_breakout,False,1,-1.1
e2f71f7cb4d4,CEATLTD,2022-11-28,false_touch,sr_breakout,False,1,-1.027
e0557036dbf6,CSBBANK,2021-07-19,false_touch,no_clear_setup,True,1,-1.159
219d33d24c0c,DATAPATTNS,2023-02-10,noise_stop,sr_breakout,False,2,-1.21
7e0532f20282,SUZLON,2022-01-19,noise_stop,sr_breakout,False,1,-1.028
41da6d475950,MFSL,2020-01-06,noise_stop,sr_breakout,False,1,-1.37
18c3a30b44ac,VIJAYA,2024-01-01,noise_stop,no_clear_setup,True,1,-1.593
cdd8c56e3b29,BAJAJHLDNG,2022-01-03,noise_stop,no_clear_setup,True,1,-1.195
ade04b1e502e,NBCC,2024-06-18,noise_stop,sr_breakout,False,2,-1.511
5818d57e20f8,IDFCFIRSTB,2022-12-19,noise_stop,no_clear_setup,True,1,-1.095
66cf591d41c8,GUJGASLTD,2021-06-21,noise_stop,sr_breakout,False,2,-1.002
fbb4326066c7,VBL,2020-02-10,noise_stop,no_clear_setup,True,1,-3.07
ab725d017cda,KARURVYSYA,2021-02-22,noise_stop,sr_breakout,False,1,-1.009
46ef9b1d3f8b,LALPATHLAB,2019-12-09,noise_stop,no_clear_setup,True,1,-1.826
a6ee6ba76169,ONGC,2024-05-06,noise_stop,sr_breakout,False,1,-1.073
cda74538ca09,SCHAEFFLER,2024-05-27,noise_stop,sr_breakout,False,1,-1.185
04553ee772e1,PNCINFRA,2019-07-01,noise_stop,sr_breakout,False,1,-1.678
8d271db130bf,AUROPHARMA,2024-01-23,strong_winner,no_clear_setup,True,1,2.128
01e60b880946,ADANIGREEN,2019-10-07,strong_winner,sr_breakout,False,1,3.765
48fa59033a73,BANKBARODA,2022-10-24,strong_winner,sr_breakout,False,2,2.078
9145f9f93c2c,SONATSOFTW,2023-03-06,strong_winner,sr_breakout,False,1,2.557
29f4546c8d1a,HATSUN,2020-11-23,strong_winner,no_clear_setup,True,1,2.651
36d8dfe908e6,WELCORP,2023-07-24,strong_winner,sr_breakout,False,1,2.639
ba6f31e2f0c5,DIXON,2023-10-16,strong_winner,no_clear_setup,True,1,2.189
c68c8249667d,TRIDENT,2021-03-15,strong_winner,flat_base_box,False,2,2.395
bdac3731c322,SUZLON,2024-01-15,strong_winner,sr_breakout,False,1,2.347
e7daebd537ea,ALKYLAMINE,2021-04-05,strong_winner,no_clear_setup,True,1,5.157
119368953884,EXIDEIND,2023-09-11,strong_winner,no_clear_setup,True,1,5.209
be973d548835,WELSPUNLIV,2023-08-07,strong_winner,no_clear_setup,True,1,2.147
40f4b0917113,UNOMINDA,2021-02-08,strong_winner,sr_breakout,False,1,2.576
21f954e22d57,FACT,2023-01-03,strong_winner,sr_breakout,False,1,2.177
eb7409ce811f,TORNTPOWER,2024-02-05,strong_winner,no_clear_setup,True,1,2.825
